preprocessamento,encoding,padronizacao,target_transform,max_depth,r2_score,mape,mae,mse,rmse
sem_dummy_com_std,label_encoder,StandardScaler,log,2,0.347488,78.77,40920.87,3768337907.2,61386.79
sem_dummy_com_std,label_encoder,StandardScaler,log,3,0.398687,69.1,37959.29,3472660713.29,58929.29
sem_dummy_com_std,label_encoder,StandardScaler,log,4,0.251856,80.06,41605.29,4320622940.04,65731.45
sem_dummy_com_std,label_encoder,StandardScaler,log,5,0.082476,90.02,43251.36,5298819177.07,72792.99
sem_dummy_com_std,label_encoder,StandardScaler,log,6,0.114981,89.45,41758.17,5111095631.97,71491.93
sem_dummy_com_std,label_encoder,StandardScaler,log,7,0.044548,94.36,44601.97,5517854620.56,74282.26
sem_dummy_com_std,label_encoder,StandardScaler,log,8,0.046511,95.84,45533.61,5506521833.94,74205.94
sem_dummy_com_std,label_encoder,StandardScaler,log,9,0.063471,96.03,46222.29,5408573784.32,73543.01
sem_dummy_com_std,label_encoder,StandardScaler,log,10,0.041997,95.42,47812.89,5532587152.58,74381.36
sem_dummy_com_std,label_encoder,StandardScaler,log,11,0.028009,93.25,47954.39,5613367655.06,74922.41
sem_dummy_com_std,label_encoder,StandardScaler,log,12,-0.061486,94.54,48895.73,6130213861.88,78295.68
sem_dummy_com_std,label_encoder,StandardScaler,log,13,-0.047577,95.21,48699.93,6049888564.48,77781.03
sem_dummy_com_std,label_encoder,StandardScaler,log,14,-0.063002,96.3,49444.5,6138971473.23,78351.59
sem_dummy_com_std,label_encoder,StandardScaler,log,15,-0.083346,97.53,49852.93,6256462026.01,79097.8
sem_dummy_com_std,label_encoder,StandardScaler,log,16,-0.085926,97.02,49870.99,6271357651.76,79191.9
sem_dummy_com_std,label_encoder,StandardScaler,log,17,-0.085926,97.02,49870.99,6271357651.76,79191.9
sem_dummy_com_std,label_encoder,StandardScaler,log,18,-0.085926,97.02,49870.99,6271357651.76,79191.9
sem_dummy_com_std,label_encoder,StandardScaler,log,19,-0.085926,97.02,49870.99,6271357651.76,79191.9
sem_dummy_com_std,label_encoder,StandardScaler,log,20,-0.085926,97.02,49870.99,6271357651.76,79191.9
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,1,0.277842,109.93,47137.48,4170553151.37,64579.82
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,2,0.350047,100.47,44681.32,3753562223.39,61266.32
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,3,0.409802,87.97,41437.63,3408467750.97,58382.08
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,4,0.121046,105.09,44360.23,5076069644.03,71246.54
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,5,0.234351,89.71,43729.46,4421717377.85,66496.0
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,6,0.198943,92.88,45052.45,4626206186.34,68016.22
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,7,-0.16548,122.39,47484.36,6730791274.24,82041.4
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,8,-0.04695,123.63,46295.3,6046265745.48,77757.74
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,9,-0.061186,122.15,47129.59,6128484401.12,78284.64
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,10,-0.104956,121.88,49228.21,6381261349.8,79882.8
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,11,0.11799,93.37,49547.56,5093719892.77,71370.3
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,12,-0.283983,109.15,53636.64,7415162976.59,86111.34
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,13,-0.117581,117.63,49744.5,6454173336.62,80337.87
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,14,-0.332448,120.06,52749.49,7695054831.84,87721.46
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,15,-0.325665,120.84,52151.24,7655880910.3,87497.89
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,16,-0.334293,121.28,52810.9,7705710247.54,87782.17
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,17,-0.334293,121.28,52810.9,7705710247.54,87782.17
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,18,-0.334293,121.28,52810.9,7705710247.54,87782.17
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,19,-0.334293,121.28,52810.9,7705710247.54,87782.17
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,20,-0.334293,121.28,52810.9,7705710247.54,87782.17
sem_dummy_sem_std,label_encoder,nenhuma,log,1,0.240748,93.68,47071.78,4384775546.02,66217.64
sem_dummy_sem_std,label_encoder,nenhuma,log,2,0.347488,78.77,40920.87,3768337907.2,61386.79
sem_dummy_sem_std,label_encoder,nenhuma,log,3,0.398687,69.1,37959.29,3472660713.29,58929.29
sem_dummy_sem_std,label_encoder,nenhuma,log,4,0.252148,79.9,41546.8,4318937570.68,65718.62
sem_dummy_sem_std,label_encoder,nenhuma,log,5,0.082476,90.02,43251.36,5298819177.07,72792.99
sem_dummy_sem_std,label_encoder,nenhuma,log,6,0.114981,89.45,41758.17,5111095631.97,71491.93
sem_dummy_sem_std,label_encoder,nenhuma,log,7,0.04386,94.41,44637.84,5521827124.69,74309.0
sem_dummy_sem_std,label_encoder,nenhuma,log,8,0.047112,95.39,45418.26,5503047882.49,74182.53
sem_dummy_sem_std,label_encoder,nenhuma,log,9,0.062783,96.07,46258.15,5412546288.45,73570.01
sem_dummy_sem_std,label_encoder,nenhuma,log,10,0.043011,94.92,47648.14,5526730638.65,74341.98
sem_dummy_sem_std,label_encoder,nenhuma,log,11,0.024367,93.35,48144.84,5634405124.28,75062.67
sem_dummy_sem_std,label_encoder,nenhuma,log,12,-0.061467,94.53,48894.45,6130107616.65,78295.0
sem_dummy_sem_std,label_encoder,nenhuma,log,13,-0.047637,95.23,48688.55,6050236765.61,77783.27
sem_dummy_sem_std,label_encoder,nenhuma,log,14,-0.062393,96.29,49402.56,6135451927.38,78329.13
sem_dummy_sem_std,label_encoder,nenhuma,log,15,-0.083425,97.57,49846.85,6256914984.28,79100.66
sem_dummy_sem_std,label_encoder,nenhuma,log,16,-0.084284,96.49,49659.0,6261876834.83,79132.02
sem_dummy_sem_std,label_encoder,nenhuma,log,17,-0.084284,96.49,49659.0,6261876834.83,79132.02
sem_dummy_sem_std,label_encoder,nenhuma,log,18,-0.084284,96.49,49659.0,6261876834.83,79132.02
sem_dummy_sem_std,label_encoder,nenhuma,log,19,-0.084284,96.49,49659.0,6261876834.83,79132.02
sem_dummy_sem_std,label_encoder,nenhuma,log,20,-0.084284,96.49,49659.0,6261876834.83,79132.02
